scientificName,japaneseName,order,family
Lamnostoma polyophthalmum,Hakutenumihebi,Anguilliformes,Ophichthidae
Rondeletia loricata,Akachokkikujirauo,Beryciformes,Rondeletiidae
Saurida fortis,Dorozomeeso,Aulopiformes,Harpadontidae
Naso thynnoides,Bozuhagi,Acanthuriformes,Acanthuridae
Ophichthus lupus,Yamainuumihabi,Anguilliformes,Ophichthidae
Saurida macrolepis,Maeso,Aulopiformes,Harpadontidae
Acanthurus nigricauda,Kuromontsuki,Acanthuriformes,Acanthuridae
Acanthurus thompsoni,Ohagurohagi,Acanthuriformes,Acanthuridae
Saurida undosquamis,Tsukeageeso,Aulopiformes,Harpadontidae
Muraenichthys schultzei,Minamimimizuanago,Anguilliformes,Ophichthidae
Acanthurus maculiceps,Irezuminiza,Acanthuriformes,Acanthuridae
Scolecenchelys gymnota,Mimizuanago,Anguilliformes,Ophichthidae
Harpadon microchir,Mizutengu,Aulopiformes,Harpadontidae
Poromitra unicornis,Futozunokabutoo,Beryciformes,Melamphaidae
Zebrasoma scopas,Gomahagi,Acanthuriformes,Acanthuridae
Callechelys marmorata,Monhimoumihebi,Anguilliformes,Ophichthidae
Saurida nebulosa,Uchiumimadaraeso,Aulopiformes,Harpadontidae
Acanthurus mata,Hiraniza,Acanthuriformes,Acanthuridae
Myrichthys colubrinus,Shimaumihebi,Anguilliformes,Ophichthidae
Acanthurus lineatus,Nijihagi,Acanthuriformes,Acanthuridae
Saurida eso,Tokageso,Aulopiformes,Harpadontidae
Melamphaes suborbitalis,Togekabutoo,Beryciformes,Melamphaidae
Naso caesius,Yumiharitenguhagimodoki,Acanthuriformes,Acanthuridae
Melamphaes longivelis,Marukabutoo,Beryciformes,Melamphaidae
Harpadon nehereus,Tenagamizutengu,Aulopiformes,Harpadontidae
Naso hexacanthus,Tenguhagimodoki,Acanthuriformes,Acanthuridae
Poromitra cristiceps,Kabutoo,Beryciformes,Melamphaidae
Saurida elongata,Wanieso,Aulopiformes,Harpadontidae
Myrichthys maculosus,Moyomongaradoshi,Anguilliformes,Ophichthidae
Naso mcdadei,Masakaritenguhagi,Acanthuriformes,Acanthuridae
Scopeloberyx opisthopterus,Himetatekabutoo,Beryciformes,Melamphaidae
Saurida umeyoshii,Kuroeso,Aulopiformes,Harpadontidae
Scolecenchelys macroptera,Kurimimizuanago,Anguilliformes,Ophichthidae
Scopeloberyx robustus,Minamitatekabutoo,Beryciformes,Melamphaidae
Saurida micropectoralis,Kosodeso,Aulopiformes,Harpadontidae
Ophichthus exourus,Gumbaiumihebi,Anguilliformes,Ophichthidae
Branchiostegus auratus,Kiamadai,Acanthuriformes,Latilidae
Poromitra oscitans,Chihirokabutoo,Beryciformes,Melamphaidae
Saurida gracilis,Madaraeso,Aulopiformes,Harpadontidae
Branchiostegus argentatus,Sumitsukiamadai,Acanthuriformes,Latilidae
Brachysomophis henshawi,Hawaitatsuumihebi,Anguilliformes,Ophichthidae
Branchiostegus albus,Shiroamadai,Acanthuriformes,Latilidae
Callechelys kuro,Kuroumihebi,Anguilliformes,Ophichthidae
Melamphaes lugubris,Honkabutoo,Beryciformes,Melamphaidae
Poromitra curilensis,Chishimakabutoo,Beryciformes,Melamphaidae
Myrophis microchir,Serebesuhireanago,Anguilliformes,Ophichthidae
Branchiostegus japonicus,Akaamadai,Acanthuriformes,Latilidae
Melamphaes polylepis,Urokokabutoo,Beryciformes,Melamphaidae
Ophichthus erabo,Mongaradoshi,Anguilliformes,Ophichthidae
Branchiostegus okinawaensis,Hanaamadai,Acanthuriformes,Latilidae
Scopelarchus michaelsarsi,Mikaerudemeso,Aulopiformes,Scopelarchidae
Scopeloberyx rossicus,Tatekabutoo,Beryciformes,Melamphaidae
Scopelarchus analis,Demesodamashi,Aulopiformes,Scopelarchidae
Poromitra macrophthalma,Omekabutoo,Beryciformes,Melamphaidae
Platax pinnatus,Akakukuri,Acanthuriformes,Ephippidae
Yirrkala misolensis,Takenokoumihebi,Anguilliformes,Ophichthidae
Ophichthus pallens,Tarumiumihebi,Anguilliformes,Ophichthidae
Platax teira,Tsubameuo,Acanthuriformes,Ephippidae
Scopelarchus guentheri,Gyuntademeso,Aulopiformes,Scopelarchidae
Ophichthus celebicus,Torinokoumihebi,Anguilliformes,Ophichthidae
Ephippus orbis,Manjudai,Acanthuriformes,Ephippidae
Scopelarchus stephensi,Sutefuandemeso,Aulopiformes,Scopelarchidae
Barbourisia rufa,Akakujirauodamashi,Beryciformes,Barbourisiidae
Ichthyapus acutirostris,Togariumihebi,Anguilliformes,Ophichthidae
Scopelarchoides signifer,Minamidemeso,Aulopiformes,Scopelarchidae
Platax orbicularis,Nan-yotsubameuo,Acanthuriformes,Ephippidae
Brachysomophis cirrocheilos,Moyotatsuumihebi,Anguilliformes,Ophichthidae
Scopelarchoides danae,Shirodemeso,Aulopiformes,Scopelarchidae
Platax boersii,Mikazukitsubameuo,Acanthuriformes,Ephippidae
Rosenblattichthys hubbsi,Habusudemeso,Aulopiformes,Scopelarchidae
Ophichthus machidai,Machidaumihebi,Anguilliformes,Ophichthidae
Rosenblattichthys alatus,Hirenagademeso,Aulopiformes,Scopelarchidae
Hapalogenys analis,Setodai,Acanthuriformes,Lobotidae
Apterichtus orientalis,Kishugomaumihebi,Anguilliformes,Ophichthidae
Beryx mollis,Fusenkimme,Beryciformes,Berycidae
Benthalbella linguidens,Demeso,Aulopiformes,Scopelarchidae
Hapalogenys sennin,Higedai,Acanthuriformes,Lobotidae
Phyllophichthus xenodontus,Gettoumihebi,Anguilliformes,Ophichthidae
Beryx decadactylus,Nan-yokimme,Beryciformes,Berycidae
Benthalbella infans,Hikaridemeso,Aulopiformes,Scopelarchidae
Scolecenchelys fuscogularis,Nodoguromimizuanago,Anguilliformes,Ophichthidae
Hapalogenys kishinouyei,Shimasetodai,Acanthuriformes,Lobotidae
Beryx splendens,Kimmedai,Beryciformes,Berycidae
Benthalbella dentata,Tsumaridemeso,Aulopiformes,Scopelarchidae
Leiuranus semicinctus,Soraumihebi,Anguilliformes,Ophichthidae
Lobotes surinamensis,Matsudai,Acanthuriformes,Lobotidae
Centroberyx druzhinini,Kimmedamashi,Beryciformes,Berycidae
Myrichthys paleracio,Madarashimaumihebi,Anguilliformes,Ophichthidae
Hapalogenys nigripinnis,Higesoridai,Acanthuriformes,Lobotidae
Pisodonophis cancrivorus,Minamihotateumihebi,Anguilliformes,Ophichthidae
Bascanichthys ryukyuensis,Kazuraumihebi,Anguilliformes,Ophichthidae
Gibberichthys latifrons,Makafushigiuo,Beryciformes,Gibberichthyidae
Luvarus imperialis,Amashiira,Acanthuriformes,Luvaridae
Bathysauroides gigas,Oniaomeeso,Aulopiformes,Bathysauroididae
Brachysomophis porphyreus,Murasakiumihebi,Anguilliformes,Ophichthidae
Muraenichthys gymnopterus,Ushibamimizuanago,Anguilliformes,Ophichthidae
Pristigenys refulgens,Minamikurumadai,Acanthuriformes,Priacanthidae
Ophichthus altipennis,Tongarihotateumihebi,Anguilliformes,Ophichthidae
Ostichthys hypsipterygion,Hiredakaebisu,Beryciformes,Holocentridae
Ipnops agassizii,Chochinhadaka,Aulopiformes,Ipnopidae
Priacanthus hamrur,Hosekikintoki,Acanthuriformes,Priacanthidae
Ophichthus sangjuensis,Fuchinashiumihebi,Anguilliformes,Ophichthidae
Myripristis chryseres,Kibirematsukasa,Beryciformes,Holocentridae
Priacanthus alalaua,Tsubasakintoki,Acanthuriformes,Priacanthidae
Bathytyphlops marionae,Sokoeso,Aulopiformes,Ipnopidae
Ophichthus obtusus,Shishigashiraumihebi,Anguilliformes,Ophichthidae
Sargocentron tiereoides,Sakuraebisu,Beryciformes,Holocentridae
Priacanthus sagittarius,Minamikintoki,Acanthuriformes,Priacanthidae
Bathypterois guentheri,Nagazueso,Aulopiformes,Ipnopidae
Myripristis robusta,Yuyakematsukasa,Beryciformes,Holocentridae
Heteropriacanthus carolinus,Gomahirekintoki,Acanthuriformes,Priacanthidae
Ostichthys delta,Churashimaebisu,Beryciformes,Holocentridae
Bathypterois grallator,Oitohikiiwashi,Aulopiformes,Ipnopidae
Pristigenys niphonia,Kurumadai,Acanthuriformes,Priacanthidae
Myripristis kuntee,Kuroobimatsukasa,Beryciformes,Holocentridae
Cookeolus japonicus,Chikamekintoki,Acanthuriformes,Priacanthidae
Bathypterois atricolor,Itohikiiwashi,Aulopiformes,Ipnopidae
Moringua bicolor,Segurohariganeumihebi,Anguilliformes,Moringuidae
Sargocentron dorsomaculatum,Baraebisu,Beryciformes,Holocentridae
Priacanthus zaiserae,Kibirekintoki,Acanthuriformes,Priacanthidae
Moringua microchir,Hariganeumihebi,Anguilliformes,Moringuidae
Myripristis adusta,Tsumaguromatsukasa,Beryciformes,Holocentridae
Priacanthus blochii,Akanekintoki,Acanthuriformes,Priacanthidae
Moringua javanica,Tobihariganeumihebi,Anguilliformes,Moringuidae
Sargocentron melanospilos,Sumitsukikanoko,Beryciformes,Holocentridae
Priacanthus macracanthus,Kintokidai,Acanthuriformes,Priacanthidae
Paraulopus oblongus,Nagaaomeeso,Aulopiformes,Paraulopidae
Sargocentron caudimaculatum,Kurakakeebisu,Beryciformes,Holocentridae
Moringua ferruginea,Sabihariganeumihebi,Anguilliformes,Moringuidae
Priacanthus fitchi,Usubenikintoki,Acanthuriformes,Priacanthidae
Neoniphon opercularis,Hireguroittodai,Beryciformes,Holocentridae
Pristigenys meyeri,Okinawakurumadai,Acanthuriformes,Priacanthidae
Paraulopus japonicus,Monaomeeso,Aulopiformes,Paraulopidae
Myripristis botche,Urokomatsukasa,Beryciformes,Holocentridae
Paraulopus filamentosus,Itohikiaomeeso,Aulopiformes,Paraulopidae
Sargocentron rubrum,Ayameebisu,Beryciformes,Holocentridae
Paraulopus brevirostris,Montsukiaomeeso,Aulopiformes,Paraulopidae
Myripristis greenfieldi,Tsumarimatsukasa,Beryciformes,Holocentridae
Drepane punctata,Yudachisudaredai,Acanthuriformes,Drepaneidae
Myripristis kochiensis,Namimatsukasa,Beryciformes,Holocentridae
Drepane longimana,Sudaredai,Acanthuriformes,Drepaneidae
Myripristis amaena,Amematsukasa,Beryciformes,Holocentridae
Sargocentron spiniferum,Togariebisu,Beryciformes,Holocentridae
Saurenchelys lateromaculatus,Shimaitoanago,Anguilliformes,Nettastomatidae
Sargocentron praslin,Kuroobiebisu,Beryciformes,Holocentridae
Nettastoma parviceps,Kuzuanago,Anguilliformes,Nettastomatidae
Diagramma melanacrum,Hiregurokorodai,Acanthuriformes,Haemulidae
Sargocentron violaceum,Sumirebisu,Beryciformes,Holocentridae
Nettastoma solitarium,Nisekuzuanago,Anguilliformes,Nettastomatidae
Pristilepis oligolepis,Yaseebisu,Beryciformes,Holocentridae
Plectorhinchus albovittatus,Daidaikoshodai,Acanthuriformes,Haemulidae
Sargocentron ensiferum,Hanaebisu,Beryciformes,Holocentridae
Saurenchelys cancrivora,Itoanago,Anguilliformes,Nettastomatidae
Myripristis hexagona,Marumatsukasa,Beryciformes,Holocentridae
Plectorhinchus lessonii,Hiregurokoshodai,Acanthuriformes,Haemulidae
Sargocentron iota,Kogashiraebisu,Beryciformes,Holocentridae
Nettenchelys gephyra,Hashikuzuanago,Anguilliformes,Nettastomatidae
Plectorhinchus chaetodonoides,Chochokoshodai,Acanthuriformes,Haemulidae
Sargocentron ittodai,Teriebisu,Beryciformes,Holocentridae
Saurenchelys meteori,Oitoanago,Anguilliformes,Nettastomatidae
Plectorhinchus flavomaculatus,Osharekoshodai,Acanthuriformes,Haemulidae
Neoniphon aurolineatus,Hohobeniittodai,Beryciformes,Holocentridae
Saurenchelys stylura,Hosoitoanago,Anguilliformes,Nettastomatidae
Plectorhinchus vittatus,Musujikoshodai,Acanthuriformes,Haemulidae
Myripristis woodsi,Minamimatsukasa,Beryciformes,Holocentridae
Venefica tentaculata,Kiserukuzuanago,Anguilliformes,Nettastomatidae
Pomadasys argenteus,Hoshimizoisaki,Acanthuriformes,Haemulidae
Plectrypops lima,Ryukyuebisu,Beryciformes,Holocentridae
Plectorhinchus cinctus,Koshodai,Acanthuriformes,Haemulidae
Ostichthys archiepiscopus,Okiebisu,Beryciformes,Holocentridae
Plectorhinchus unicolor,Eriakakoshodai,Acanthuriformes,Haemulidae
Myripristis pralinia,Koganematsukasa,Beryciformes,Holocentridae
Pomadasys kaakan,Kagayakimizoisaki,Acanthuriformes,Haemulidae
Myripristis vittata,Benimatsukasa,Beryciformes,Holocentridae
Plectorhinchus picus,Ajiakoshodai,Acanthuriformes,Haemulidae
Myripristis murdjan,Yogorematsukasa,Beryciformes,Holocentridae
Plectorhinchus gibbosus,Kurokoshodai,Acanthuriformes,Haemulidae
Ostichthys japonicus,Ebisudai,Beryciformes,Holocentridae
Plectorhinchus lineatus,Ayakoshodai,Acanthuriformes,Haemulidae
Sargocentron microstoma,Himebisu,Beryciformes,Holocentridae
Plectorhinchus chrysotaenia,Nijikoshodai,Acanthuriformes,Haemulidae
Sargocentron tiere,Aosujiebisu,Beryciformes,Holocentridae
Parapristipoma trilineatum,Isaki,Acanthuriformes,Haemulidae
Myripristis violacea,Seguromatsukasa,Beryciformes,Holocentridae
Pomadasys quadrilineatus,Sujimizoisaki,Acanthuriformes,Haemulidae
Sargocentron diadema,Nijiebisu,Beryciformes,Holocentridae
Pomadasys maculatus,Madaramizoisaki,Acanthuriformes,Haemulidae
Sargocentron punctatissimum,Hoshiebisu,Beryciformes,Holocentridae
Myripristis berndti,Akamatsukasa,Beryciformes,Holocentridae
Ostichthys kaianus,Kaiebisu,Beryciformes,Holocentridae
Neoniphon argenteus,Hosoebisu,Beryciformes,Holocentridae
Sargocentron spinosissimum,Ittodai,Beryciformes,Holocentridae
Neoniphon sammara,Ukeguchiittodai,Beryciformes,Holocentridae
Gyrinomimus bruuni,Hitagurokujirauo,Beryciformes,Cetomimidae
Cetomimus hempeli,Seiunkujirauo,Beryciformes,Cetomimidae
Pomacanthus sexstriatus,Rokusen-yakko,Acanthuriformes,Pomacanthidae
Cetostoma regani,Hosomikujirauo,Beryciformes,Cetomimidae
Paracentropyge venusta,Sumireyakko,Acanthuriformes,Pomacanthidae
Centropyge flavissima,Koganeyakko,Acanthuriformes,Pomacanthidae
Centropyge colini,Ayameyakko,Acanthuriformes,Pomacanthidae
Vitiaziella cubiceps,Sokokujirauo,Beryciformes,Cetomimidae
Centropyge nox,Ohaguroyakko,Acanthuriformes,Pomacanthidae
Eutaeniophorus festivus,Riboniwashi,Beryciformes,Cetomimidae
Chaetodontoplus mesoleucus,Chirimen-yakko,Acanthuriformes,Pomacanthidae
Ditropichthys storeri,Sumikujirauo,Beryciformes,Cetomimidae
Pygoplites diacanthus,Nishikiyakko,Acanthuriformes,Pomacanthidae
Cetichthys parini,Kujirauo,Beryciformes,Cetomimidae
Centropyge abei,Yumizukiyakko,Acanthuriformes,Pomacanthidae
Danacetichthys galathenus,Chihirokujirauo,Beryciformes,Cetomimidae
Genicanthus takeuchii,Mizutamayakko,Acanthuriformes,Pomacanthidae
Cetichthys indagator,Maboroshikujirauo,Beryciformes,Cetomimidae
Centropyge vrolikii,Namerayakko,Acanthuriformes,Pomacanthidae
Cetomimus compunctus,Irezumikujirauo,Beryciformes,Cetomimidae
Chaetodontoplus septentrionalis,Kinchakudai,Acanthuriformes,Pomacanthidae
Genicanthus semifasciatus,Tosayakko,Acanthuriformes,Pomacanthidae
Pomacanthus imperator,Tatejimakinchakudai,Acanthuriformes,Pomacanthidae
Paracentropyge multifasciata,Shimayakko,Acanthuriformes,Pomacanthidae
Centropyge ferrugata,Akaharayakko,Acanthuriformes,Pomacanthidae
Centropyge fisheri,Chairoyakko,Acanthuriformes,Pomacanthidae
Centropyge heraldi,Herarudokoganeyakko,Acanthuriformes,Pomacanthidae
Genicanthus melanospilos,Yaitoyakko,Acanthuriformes,Pomacanthidae
Centropyge bicolor,Somewakeyakko,Acanthuriformes,Pomacanthidae
Centropyge interrupta,Renten-yakko,Acanthuriformes,Pomacanthidae
Pomacanthus annularis,Wanukeyakko,Acanthuriformes,Pomacanthidae
Genicanthus watanabei,Hirenagayakko,Acanthuriformes,Pomacanthidae
Chaetodontoplus niger,Kurokinchakudai,Acanthuriformes,Pomacanthidae
Pomacanthus xanthometopon,Adeyakko,Acanthuriformes,Pomacanthidae
Apolemichthys trimaculatus,Shiten-yakko,Acanthuriformes,Pomacanthidae
Pomacanthus semicirculatus,Sazanamiyakko,Acanthuriformes,Pomacanthidae
Centropyge bispinosa,Ruriyakko,Acanthuriformes,Pomacanthidae
Centropyge shepardi,Daidaiyakko,Acanthuriformes,Pomacanthidae
Centropyge tibicen,Aburayakko,Acanthuriformes,Pomacanthidae
Genicanthus lamarck,Tatejimayakko,Acanthuriformes,Pomacanthidae
Genicanthus bellus,Fukamiyakko,Acanthuriformes,Pomacanthidae
Chaetodontoplus melanosoma,Kiherikinchakudai,Acanthuriformes,Pomacanthidae
Antigonia capros,Hishidai,Acanthuriformes,Antigoniidae
Antigonia rubescens,Benihishidai,Acanthuriformes,Antigoniidae
Antigonia rubicunda,Minamihishidai,Acanthuriformes,Antigoniidae
Johnius distinctus,Aburaguchi,Acanthuriformes,Sciaenidae
Collichthys niveatus,Mebutokandari,Acanthuriformes,Sciaenidae
Collichthys lucidus,Kandari,Acanthuriformes,Sciaenidae
Atrobucca nibe,Kuroguchi,Acanthuriformes,Sciaenidae
Larimichthys croceus,Fusei,Acanthuriformes,Sciaenidae
Nibea mitsukurii,Nibe,Acanthuriformes,Sciaenidae
Larimichthys polyactis,Kiguchi,Acanthuriformes,Sciaenidae
Megalonibea fusca,Shinaonibe,Acanthuriformes,Sciaenidae
Pennahia argentata,Shiroguchi,Acanthuriformes,Sciaenidae
Argyrosomus japonicus,Onibe,Acanthuriformes,Sciaenidae
Miichthys miiuy,Honnibe,Acanthuriformes,Sciaenidae
Pennahia macrocephala,Taiwanshiroguchi,Acanthuriformes,Sciaenidae
Johnius grypotus,Konibe,Acanthuriformes,Sciaenidae
Johnius amblycephalus,Higeishimochi,Acanthuriformes,Sciaenidae
Protonibea diacanthus,Gomanibe,Acanthuriformes,Sciaenidae
Nibea semifasciata,Minaminibe,Acanthuriformes,Sciaenidae
Nibea albiflora,Koichi,Acanthuriformes,Sciaenidae
Opistognathus decorus,Irezumiamadai,Blenniiformes,Opistognathidae
Opistognathus liturus,Setoamadai,Blenniiformes,Opistognathidae
Opistognathus megalops,Omeagoamadai,Blenniiformes,Opistognathidae
Opistognathus flavidus,Bananaagoamadai,Blenniiformes,Opistognathidae
Stalix albonotata,Shimofurikaeruamadai,Blenniiformes,Opistognathidae
Opistognathus evermanni,Nijiamadai,Blenniiformes,Opistognathidae
Opistognathus ctenion,Shiratamaagoamadai,Blenniiformes,Opistognathidae
Opistognathus solorensis,Hoshikageagoamadai,Blenniiformes,Opistognathidae
Stalix histrio,Kaeruamadai,Blenniiformes,Opistognathidae
Opistognathus trimaculatus,Yaitoagoamadai,Blenniiformes,Opistognathidae
Opistognathus ocellicaudatus,Misakiagoamadai,Blenniiformes,Opistognathidae
Opistognathus iyonis,Niramiamadai,Blenniiformes,Opistognathidae
Opistognathus wassi,Meganeagoamadai,Blenniiformes,Opistognathidae
Opistognathus variabilis,Shishidamaokuchiamadai,Blenniiformes,Opistognathidae
Opistognathus hopkinsi,Agoamadai,Blenniiformes,Opistognathidae
Stalix toyoshio,Kibirekaeruamadai,Blenniiformes,Opistognathidae
Opistognathus castelnaui,Waniamadai,Blenniiformes,Opistognathidae
Opistognathus abei,Hosomiagoamadai,Blenniiformes,Opistognathidae
Stalix yanoi,Sarashikaeruamadai,Blenniiformes,Opistognathidae
Stalix immaculata,Himeagoamadai,Blenniiformes,Opistognathidae
Opistognathus nigripinnis,Mushikuiagoamadai,Blenniiformes,Opistognathidae
Ditrema viride,Aotanago,Blenniiformes,Embiotocidae
Neoditrema ransonnetii,Okitanago,Blenniiformes,Embiotocidae
Ditrema jordani,Akatanago,Blenniiformes,Embiotocidae
Springeratus xanthosoma,Asahigimpo,Blenniiformes,Clinidae
Neoclinus nudiceps,Okimatsuge,Blenniiformes,Chaenopsidae
Neoclinus chihiroe,Shizumiisokokegimpo,Blenniiformes,Chaenopsidae
Neoclinus toshimaensis,Toshimakokegimpo,Blenniiformes,Chaenopsidae
Neoclinus nudus,Hadakakokegimpo,Blenniiformes,Chaenopsidae
Neoclinus bryope,Kokegimpo,Blenniiformes,Chaenopsidae
Neoclinus okazakii,Araisokokegimpo,Blenniiformes,Chaenopsidae
Neoclinus lacunicola,Iwaanakokegimpo,Blenniiformes,Chaenopsidae
Neoclinus monogrammus,Chishiokokegimpo,Blenniiformes,Chaenopsidae
Pseudoplesiops umbrosus,Donguritanabatamegisu,Blenniiformes,Pseudochromidae
Congrogadus subducens,Senningaji,Blenniiformes,Pseudochromidae
Pseudochromis marshallensis,Hoshinisesuzume,Blenniiformes,Pseudochromidae
Cypho zaps,Donammegisu,Blenniiformes,Pseudochromidae
Pseudoplesiops annae,Kamereontanabatamegisu,Blenniiformes,Pseudochromidae
Labracinus cyclophthalmus,Megisu,Blenniiformes,Pseudochromidae
Pseudoplesiops rosae,Tanabatamegisu,Blenniiformes,Pseudochromidae
Pseudoplesiops occasus,Yuhitanabatamegisu,Blenniiformes,Pseudochromidae
Pseudoplesiops immaculatus,Hanasakitanabatamegisu,Blenniiformes,Pseudochromidae
Pseudochromis cyanotaenia,Ryukyunisesuzume,Blenniiformes,Pseudochromidae
Lubbockichthys tanakai,Obikinuhadatanabatamegisu,Blenniiformes,Pseudochromidae
Phtheirichthys lineatus,Sujikoban,Carangiformes,Echeneidae
Pseudochromis yamasakii,Haratennisesuzume,Blenniiformes,Pseudochromidae
Remora australis,Okoban,Carangiformes,Echeneidae
Pseudochromis fuscus,Sedakanisemegisu,Blenniiformes,Pseudochromidae
Remora brachyptera,Kurokoban,Carangiformes,Echeneidae
Amsichthys knighti,Ometanabatamegisu,Blenniiformes,Pseudochromidae
Pictichromis porphyreus,Kurenainisesuzume,Blenniiformes,Pseudochromidae
Remora remora,Nagakoban,Carangiformes,Echeneidae
Pseudochromis tapeinosoma,Katsuironisesuzume,Blenniiformes,Pseudochromidae
Echeneis naucrates,Kobanzame,Carangiformes,Echeneidae
Pseudochromis luteus,Koganenisesuzume,Blenniiformes,Pseudochromidae
Remora albescens,Shirokoban,Carangiformes,Echeneidae
Pseudochromis striatus,Sujimonnisesuzume,Blenniiformes,Pseudochromidae
Remora osteochir,Hishikoban,Carangiformes,Echeneidae
Labracinus ocelliferus,Gantemmegisu,Blenniiformes,Pseudochromidae
Cirripectes castaneus,Tategamikaeruuo,Blenniiformes,Blenniidae
Aspidontus taeniatus,Nisekurosujigimpo,Blenniiformes,Blenniidae
Grammatobothus polyophthalmus,Mitsumedarumagarei,Carangiformes,Grammatobothidae
Meiacanthus kamoharai,Kamoharagimpo,Blenniiformes,Blenniidae
Cirripectes kuwamurai,Sujitategamikaeruuo,Blenniiformes,Blenniidae
Salarias fasciatus,Yaeyamagimpo,Blenniiformes,Blenniidae
Blenniella periophthalmus,Hanakaeruuo,Blenniiformes,Blenniidae
Omobranchus elongatus,Gomakumogimpo,Blenniiformes,Blenniidae
Sphyraena putnamae,Okamasu,Carangiformes,Sphyraenidae
Entomacrodus niuafoouensis,Keshogimpo,Blenniiformes,Blenniidae
Sphyraena qenie,Tatsukamasu,Carangiformes,Sphyraenidae
Sphyraena obtusata,Taiwankamasu,Carangiformes,Sphyraenidae
Laiphognathus longispinis,Madaragimpo,Blenniiformes,Blenniidae
Exallias brevis,Sedakagimpo,Blenniiformes,Blenniidae
Sphyraena pinguis,Akakamasu,Carangiformes,Sphyraenidae
Blenniella chrysospilos,Montsukikaeruuo,Blenniiformes,Blenniidae
Cirripectes quagga,Makasuminokaeruuo,Blenniiformes,Blenniidae
Sphyraena forsteri,Omekamasu,Carangiformes,Sphyraenidae
Andamia tetradactylus,Yodarekake,Blenniiformes,Blenniidae
Sphyraena arabiansis,Yashakamasu,Carangiformes,Sphyraenidae
Omox biporos,Hirugigimpo,Blenniiformes,Blenniidae
Parenchelyurus hepburni,Karasugimpo,Blenniiformes,Blenniidae
Sphyraena barracuda,Onikamasu,Carangiformes,Sphyraenidae
Plagiotremus laudandus,Inasegimpo,Blenniiformes,Blenniidae
Sphyraena stellata,Hosokamasu,Carangiformes,Sphyraenidae
Ecsenius bicolor,Futairokaeruuo,Blenniiformes,Blenniidae
Sphyraena africana,Oyamatokamasu,Carangiformes,Sphyraenidae
Sphyraena iburiensis,Iburikamasu,Carangiformes,Sphyraenidae
Blenniella bilitonensis,Hohogurogimpo,Blenniiformes,Blenniidae
Sphyraena jello,Torakamasu,Carangiformes,Sphyraenidae
Atrosalarias holomelas,Indokaeruuo,Blenniiformes,Blenniidae
Rachycentron canadum,Sugi,Carangiformes,Rachycentridae
Cirripectes stigmaticus,Inazumatategamikaeruuo,Blenniiformes,Blenniidae
Omobranchus elegans,Nabeka,Blenniiformes,Blenniidae
Enchelyurus kraussii,Kurogimpo,Blenniiformes,Blenniidae
Xiphasia matsubarai,Himeunagigimpo,Blenniiformes,Blenniidae
Taeniopsetta ocellata,Itohikiganzobirame,Carangiformes,Taeniopsettidae
Entomacrodus decussatus,Kikaikaeruuo,Blenniiformes,Blenniidae
Mimoblennius atrocinctus,Matsubagimpo,Blenniiformes,Blenniidae
Entomacrodus caudofasciatus,Aomongimpo,Blenniiformes,Blenniidae
Salarias sinuosus,Hirenagakaeruuo,Blenniiformes,Blenniidae
Nannosalarias nativitatis,Hinagimpo,Blenniiformes,Blenniidae
Omobranchus punctatus,Idatengimpo,Blenniiformes,Blenniidae
Ecsenius namiyei,Niramigimpo,Blenniiformes,Blenniidae
Cirrisalarias bunares,Shishimaigimpo,Blenniiformes,Blenniidae
Toxotes jaculatrix,Teppouo,Carangiformes,Toxotidae
Praealticus striatus,Kabukigimpo,Blenniiformes,Blenniidae
Scartella emarginata,Tategamigimpo,Blenniiformes,Blenniidae
Parablennius yatabei,Isogimpo,Blenniiformes,Blenniidae
Petroscirtes springeri,Futahoshinijigimpo,Blenniiformes,Blenniidae
Galeocerdo cuvier,Itachizame,Carcharhiniformes,Galeocerdonidae
Polydactylus sextarius,Kataguroagonashi,Carangiformes,Polynemidae
Istiblennius edentulus,Nisekaeruuo,Blenniiformes,Blenniidae
Eleutheronema rhadinum,Minamikonoshiro,Carangiformes,Polynemidae
Plagiotremus tapeinosoma,Tenkurosujigimpo,Blenniiformes,Blenniidae
Filistriatus plebeius,Tsubamekonoshiro,Carangiformes,Polynemidae
Scyliorhinus hachijoensis,Fukamitorazame,Carcharhiniformes,Scyliorhinidae
Istiblennius dussumieri,Kaeruuomodoki,Blenniiformes,Blenniidae
Filistriatus sexfilis,Nan-yoagonashi,Carangiformes,Polynemidae
Blenniella caudolineata,Aotengimpo,Blenniiformes,Blenniidae
Scyliorhinus torazame,Torazame,Carcharhiniformes,Scyliorhinidae
Cirripectes variolosus,Benitsuketategamikaeruuo,Blenniiformes,Blenniidae
Cephaloscyllium umbratile,Nanukazame,Carcharhiniformes,Scyliorhinidae
Ecsenius lineatus,Hitosujigimpo,Blenniiformes,Blenniidae
Pseudorhombus oculocirris,Heraganzobirame,Carangiformes,Paralichthyidae
Xiphasia setifer,Unagigimpo,Blenniiformes,Blenniidae
Pseudorhombus elevatus,Maruganzobirame,Carangiformes,Paralichthyidae
Stanulus talboti,Tsumarigimpo,Blenniiformes,Blenniidae
Pseudorhombus ocellifer,Tamaganzobirame,Carangiformes,Paralichthyidae
Petroscirtes xestus,Kazahananijigimpo,Blenniiformes,Blenniidae
Atelomycterus marmoratus,Sangotorazame,Carcharhiniformes,Atelomycteridae
