scientificName,japaneseName,order,family
Glyptophidium argenteum,Shiroganechoman,Ophidiiformes,Ophidiidae
Eviota toshiyuki,Midorihaze,Gobiiformes,Gobiidae
Eviota teresae,Shiroisohaze,Gobiiformes,Gobiidae
Neobythitoides serratus,Nokogiriitachiuo,Ophidiiformes,Ophidiidae
Cryptocentrus sericus,Futahoshitakanohahaze,Gobiiformes,Gobiidae
Neobythites machidai,Machidaitachiuo,Ophidiiformes,Ophidiidae
Silhouettea capitlineata,Minamishiranuihaze,Gobiiformes,Gobiidae
Acentrogobius janthinopterus,Kasumihaze,Gobiiformes,Gobiidae
Brotula multibarbata,Itachiuo,Ophidiiformes,Brotulidae
Vanderhorstia cyanolineata,Aosujiyatsushihaze,Gobiiformes,Gobiidae
Vanderhorstia puncticeps,Hobeniotohimehaze,Gobiiformes,Gobiidae
Alionematichthys piger,Hadakaryukyuitachiuo,Ophidiiformes,Dinematichthyidae
Callogobius tanegasimae,Tanehaze,Gobiiformes,Gobiidae
Diancistrus jackrandalli,Randoruitachiuo,Ophidiiformes,Dinematichthyidae
Acentrogobius multifasciatus,Seitakasujihaze,Gobiiformes,Gobiidae
Alionematichthys shinoharai,Shinohararyukyuitachiuo,Ophidiiformes,Dinematichthyidae
Istigobius nigroocellatus,Okikazarihaze,Gobiiformes,Gobiidae
Diancistrus fuscus,Sangoitachiuo,Ophidiiformes,Dinematichthyidae
Bathygobius petrophilus,Shijimihaze,Gobiiformes,Gobiidae
Dinematichthys iluocoeteoides,Akaneitachiuo,Ophidiiformes,Dinematichthyidae
Eviota abax,Isohaze,Gobiiformes,Gobiidae
Diancistrus erythraeus,Togeitachiuo,Ophidiiformes,Dinematichthyidae
Ptereleotris rubristigma,Sumizomehanahaze,Gobiiformes,Gobiidae
Alionematichthys riukiuensis,Ryukyuitachiuo,Ophidiiformes,Dinematichthyidae
Aphyonus gelatinosus,Kon-nyakuokumeuo,Ophidiiformes,Bythitidae
Amblyeleotris yanoi,Yanodatehaze,Gobiiformes,Gobiidae
Barathronus maculatus,Misujiokumeuo,Ophidiiformes,Bythitidae
Timorichthys angustus,Reiyoitachiuo,Ophidiiformes,Bythitidae
Acentrogobius limarius,Hokosakikirarahaze,Gobiiformes,Gobiidae
Grammonus robustus,Sedakaitachiuo,Ophidiiformes,Bythitidae
Callogobius falx,Sekireihaze,Gobiiformes,Gobiidae
Diplacanthopoma japonicum,Boraitachiuo,Ophidiiformes,Bythitidae
Amblygobius sphynx,Sufuinkususarasahaze,Gobiiformes,Gobiidae
Barathronus diaphanus,,Ophidiiformes,Bythitidae
Austrolethops wardi,Yominohaze,Gobiiformes,Gobiidae
Saccogaster tuberculata,Sarasaitachiuo,Ophidiiformes,Bythitidae
Eviota filamentosa,Itohikiisohaze,Gobiiformes,Gobiidae
Brosmophyciops pautzkei,Nettaiitachiuo,Ophidiiformes,Bythitidae
Gunnellichthys viridescens,Daidaiomewarasubo,Gobiiformes,Gobiidae
Trimma anaima,Himeniramibenihaze,Gobiiformes,Gobiidae
Parabrotula plagiophthalma,Niseitachiuo,Ophidiiformes,Bythitidae
Parabrotula tanseimaru,Sagaminiseitachiuo,Ophidiiformes,Bythitidae
Ctenogobiops pomastictus,Shinobihaze,Gobiiformes,Gobiidae
Kraemeria cunicularia,Ryukyunaminokohaze,Gobiiformes,Gobiidae
Cataetyx lepidogenys,Fusaitachiuo,Ophidiiformes,Bythitidae
Trimma caudipunctatum,Daitokubenihaze,Gobiiformes,Gobiidae
Grammonus yunokawai,Dokutsuitachiuo,Ophidiiformes,Bythitidae
Amblygobius esakiae,Esakisarasahaze,Gobiiformes,Gobiidae
Cataetyx platyrhynchus,Osokoitachiuo,Ophidiiformes,Bythitidae
Parioglossus rainfordi,Kobitohaze,Gobiiformes,Gobiidae
Eviota storthynx,Kinhoshiisohaze,Gobiiformes,Gobiidae
Onuxodon parvibrachium,Shinjukakureuo,Ophidiiformes,Carapidae
Ptereleotris heteroptera,Ogurokuroyurihaze,Gobiiformes,Gobiidae
Onuxodon fowleri,Hososhinjukakureuo,Ophidiiformes,Carapidae
Eviota ocellifer,Urauchiisohaze,Gobiiformes,Gobiidae
Encheliophis vermicularis,Amamikakureuo,Ophidiiformes,Carapidae
Psammogobius biocellatus,Hitomihaze,Gobiiformes,Gobiidae
Carapus kagoshimanus,Shirokakureuo,Ophidiiformes,Carapidae
Eurypleuron owasianum,Sokokakureuo,Ophidiiformes,Carapidae
Bathygobius cyclopterus,Yahazuhaze,Gobiiformes,Gobiidae
Carapus mourlani,Kazarikakureuo,Ophidiiformes,Carapidae
